field	cf1a.spe
 335.747	 19215
 335.748	 19215
 335.749	 19230
 335.750	 19230
 335.751	 19270
 335.752	 19270
 335.754	 19320
 335.755	 19320
 335.756	 19320
 335.757	 19310
 335.758	 19310
 335.759	 19310
 335.761	 19310
 335.762	 19335
 335.763	 19360
 335.764	 19375
 335.765	 19335
 335.766	 19350
 335.768	 19350
 335.769	 19390
 335.770	 19375
 335.771	 19360
 335.772	 19375
 335.773	 19415
 335.775	 19400
 335.776	 19400
 335.777	 19400
 335.778	 19415
 335.779	 19415
 335.781	 19415
 335.782	 19440
 335.783	 19440
 335.784	 19455
 335.785	 19510
 335.786	 19495
 335.788	 19510
 335.789	 19520
 335.790	 19510
 335.791	 19510
 335.792	 19510
 335.793	 19480
 335.795	 19480
 335.796	 19520
 335.797	 19535
 335.798	 19535
 335.799	 19560
 335.800	 19575
 335.802	 19550
 335.803	 19550
 335.804	 19560
 335.805	 19550
 335.806	 19535
 335.807	 19560
 335.809	 19550
 335.810	 19590
 335.811	 19615
 335.812	 19630
 335.813	 19600
